go_id	go_term_name
GO:0047617	fatty acyl-CoA hydrolase activity
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0005975	carbohydrate metabolic process
GO:0016787	hydrolase activity
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0008146	sulfotransferase activity
GO:0004842	ubiquitin-protein transferase activity
GO:0008270	zinc ion binding
GO:0016567	protein ubiquitination
GO:0046872	metal ion binding
GO:0016740	transferase activity
GO:0006952	defense response
GO:0016020	membrane
GO:0005516	calmodulin binding
GO:0003700	DNA-binding transcription factor activity
GO:0006351	DNA-templated transcription
GO:0043565	sequence-specific DNA binding
GO:0006355	regulation of DNA-templated transcription
GO:0005634	nucleus
GO:0003677	DNA binding
GO:0045893	positive regulation of DNA-templated transcription
GO:0005737	cytoplasm
GO:0005856	cytoskeleton
GO:0005874	microtubule
GO:0006914	autophagy
GO:0005774	vacuolar membrane
GO:0015031	protein transport
GO:0031410	cytoplasmic vesicle
GO:0005773	vacuole
GO:0005776	autophagosome
GO:0000421	autophagosome membrane
GO:0048046	apoplast
GO:0005576	extracellular region
GO:0030246	carbohydrate binding
GO:0004565	beta-galactosidase activity
GO:0007033	vacuole organization
GO:0006886	intracellular protein transport
GO:0005507	copper ion binding
GO:0016491	oxidoreductase activity
GO:0016757	glycosyltransferase activity
GO:0008194	UDP-glycosyltransferase activity
GO:0003676	nucleic acid binding
GO:0005524	ATP binding
GO:0003724	RNA helicase activity
GO:0003723	RNA binding
GO:0000166	nucleotide binding
GO:0004386	helicase activity
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0008168	methyltransferase activity
GO:0004672	protein kinase activity
GO:0006468	protein phosphorylation
GO:0005515	protein binding
GO:0016887	ATP hydrolysis activity
GO:0009507	chloroplast
GO:0009536	plastid
GO:0015986	proton motive force-driven ATP synthesis
GO:0015078	proton transmembrane transporter activity
GO:1902600	proton transmembrane transport
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0045259	proton-transporting ATP synthase complex
GO:0009451	RNA modification
GO:0000786	nucleosome
GO:0046982	protein heterodimerization activity
GO:0005694	chromosome
GO:0030527	structural constituent of chromatin
GO:0035251	UDP-glucosyltransferase activity
GO:0006397	mRNA processing
GO:0008380	RNA splicing
GO:0005681	spliceosomal complex
GO:0016788	hydrolase activity, acting on ester bonds
GO:0046527	glucosyltransferase activity
GO:0004601	peroxidase activity
GO:0020037	heme binding
GO:0006979	response to oxidative stress
GO:0006633	fatty acid biosynthetic process
GO:0031408	oxylipin biosynthetic process
GO:0098869	cellular oxidant detoxification
GO:0006629	lipid metabolic process
GO:0006631	fatty acid metabolic process
GO:0051213	dioxygenase activity
GO:0098542	defense response to other organism
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0070483	detection of hypoxia
GO:0005267	potassium channel activity
GO:0006811	monoatomic ion transport
GO:0071805	potassium ion transmembrane transport
GO:0034220	monoatomic ion transmembrane transport
GO:0009793	embryo development ending in seed dormancy
GO:0008061	chitin binding
GO:0004568	chitinase activity
GO:0006032	chitin catabolic process
GO:0016998	cell wall macromolecule catabolic process
GO:0000272	polysaccharide catabolic process
GO:0004794	threonine deaminase activity
GO:0009097	isoleucine biosynthetic process
GO:0030170	pyridoxal phosphate binding
GO:0006520	amino acid metabolic process
GO:0009082	branched-chain amino acid biosynthetic process
GO:0016829	lyase activity
GO:0008652	amino acid biosynthetic process
GO:0043531	ADP binding
GO:0042742	defense response to bacterium
GO:0002758	innate immune response-activating signaling pathway
GO:0003843	1,3-beta-D-glucan synthase activity
GO:0006075	(1->3)-beta-D-glucan biosynthetic process
GO:0006657	CDP-choline pathway
GO:0004105	choline-phosphate cytidylyltransferase activity
GO:0098803	respiratory chain complex
GO:0016866	intramolecular transferase activity
GO:0016853	isomerase activity
GO:0005811	lipid droplet
GO:0016104	triterpenoid biosynthetic process
GO:0031559	oxidosqualene cyclase activity
GO:0003690	double-stranded DNA binding
GO:0006353	DNA-templated transcription termination
GO:0008320	protein transmembrane transporter activity
GO:0071806	protein transmembrane transport
GO:0003735	structural constituent of ribosome
GO:0006412	translation
GO:0015934	large ribosomal subunit
GO:0005840	ribosome
GO:0004497	monooxygenase activity
GO:0005506	iron ion binding
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0005886	plasma membrane
GO:0006334	nucleosome assembly
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0008017	microtubule binding
GO:0000226	microtubule cytoskeleton organization
GO:0004252	serine-type endopeptidase activity
GO:0008236	serine-type peptidase activity
GO:0006508	proteolysis
GO:0008233	peptidase activity
GO:0003743	translation initiation factor activity
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0031369	translation initiation factor binding
GO:0006413	translational initiation
GO:0001732	formation of cytoplasmic translation initiation complex
GO:0002183	cytoplasmic translational initiation
GO:0033290	eukaryotic 48S preinitiation complex
GO:0008285	negative regulation of cell population proliferation
GO:0048367	shoot system development
GO:0015276	ligand-gated monoatomic ion channel activity
GO:0032502	developmental process
GO:1990904	ribonucleoprotein complex
GO:0005730	nucleolus
GO:0005739	mitochondrion
GO:0034551	mitochondrial respiratory chain complex III assembly
GO:0019843	rRNA binding
GO:0009653	anatomical structure morphogenesis
GO:0048468	cell development
GO:0048767	root hair elongation
GO:0004222	metalloendopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0009579	thylakoid
GO:0008237	metallopeptidase activity
GO:0022857	transmembrane transporter activity
GO:0055085	transmembrane transport
GO:0015112	nitrate transmembrane transporter activity
GO:0015706	nitrate transmembrane transport
GO:0012505	endomembrane system
GO:0015035	protein-disulfide reductase activity
GO:0140096	catalytic activity, acting on a protein
GO:0004674	protein serine/threonine kinase activity
GO:0016301	kinase activity
GO:0051707	response to other organism
GO:0003777	microtubule motor activity
GO:0007018	microtubule-based movement
GO:0003774	cytoskeletal motor activity
GO:0005509	calcium ion binding
GO:0140359	ABC-type transporter activity
GO:0003950	NAD+-protein poly-ADP-ribosyltransferase activity
GO:0016779	nucleotidyltransferase activity
GO:0006139	nucleobase-containing compound metabolic process
GO:0006281	DNA repair
GO:0000724	double-strand break repair via homologous recombination
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex
GO:0051087	protein-folding chaperone binding
GO:0001671	ATPase activator activity
GO:0030247	polysaccharide binding
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity
GO:0006779	porphyrin-containing compound biosynthetic process
GO:0050660	flavin adenine dinucleotide binding
GO:0006782	protoporphyrinogen IX biosynthetic process
GO:0006783	heme biosynthetic process
GO:0003989	acetyl-CoA carboxylase activity
GO:0016874	ligase activity
GO:0003824	catalytic activity
GO:0071949	FAD binding
GO:0009690	cytokinin metabolic process
GO:0019139	cytokinin dehydrogenase activity
GO:0006857	oligopeptide transport
GO:0004185	serine-type carboxypeptidase activity
GO:0004180	carboxypeptidase activity
GO:0006486	protein glycosylation
GO:0005794	Golgi apparatus
GO:0031966	mitochondrial membrane
GO:0035673	oligopeptide transmembrane transporter activity
GO:0042744	hydrogen peroxide catabolic process
GO:0015979	photosynthesis
GO:0016984	ribulose-bisphosphate carboxylase activity
GO:0015977	carbon fixation
GO:0019253	reductive pentose-phosphate cycle
GO:0061630	ubiquitin protein ligase activity
GO:0006754	ATP biosynthetic process
GO:0008289	lipid binding
GO:0010150	leaf senescence
GO:0016597	amino acid binding
GO:0019264	glycine biosynthetic process from serine
GO:0004372	glycine hydroxymethyltransferase activity
GO:0035999	tetrahydrofolate interconversion
GO:0006730	one-carbon metabolic process
GO:0004518	nuclease activity
GO:0008408	3'-5' exonuclease activity
GO:0006099	tricarboxylic acid cycle
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0006108	malate metabolic process
GO:0030060	L-malate dehydrogenase (NAD+) activity
GO:0019752	carboxylic acid metabolic process
GO:0016615	malate dehydrogenase activity
GO:0016746	acyltransferase activity
GO:0008374	O-acyltransferase activity
GO:0008654	phospholipid biosynthetic process
GO:0004556	alpha-amylase activity
GO:0043169	cation binding
GO:0005987	sucrose catabolic process
GO:0005983	starch catabolic process
GO:0009734	auxin-activated signaling pathway
GO:0009733	response to auxin
GO:0071985	multivesicular body sorting pathway
GO:0000814	ESCRT II complex
GO:0016236	macroautophagy
GO:0019825	oxygen binding
GO:0005344	oxygen carrier activity
GO:0015671	oxygen transport
GO:0005985	sucrose metabolic process
GO:0046524	sucrose-phosphate synthase activity
GO:0005986	sucrose biosynthetic process
GO:0046983	protein dimerization activity
GO:0005667	transcription regulator complex
GO:0006357	regulation of transcription by RNA polymerase II
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0004364	glutathione transferase activity
GO:0048507	meristem development
GO:0010073	meristem maintenance
GO:0005829	cytosol
GO:0019760	glucosinolate metabolic process
GO:0000175	3'-5'-RNA exonuclease activity
GO:0004527	exonuclease activity
GO:0046488	phosphatidylinositol metabolic process
GO:0052742	phosphatidylinositol kinase activity
GO:0008137	NADH dehydrogenase (ubiquinone) activity
GO:0010468	regulation of gene expression
GO:0005544	calcium-dependent phospholipid binding
GO:0006950	response to stress
GO:0016117	carotenoid biosynthetic process
GO:0016860	intramolecular oxidoreductase activity
GO:0005783	endoplasmic reticulum
GO:0006364	rRNA processing
GO:0032259	methylation
GO:0015267	channel activity
GO:0051606	detection of stimulus
GO:0005768	endosome
GO:0010008	endosome membrane
GO:0004190	aspartic-type endopeptidase activity
GO:0016409	palmitoyltransferase activity
GO:0004869	cysteine-type endopeptidase inhibitor activity
GO:0030414	peptidase inhibitor activity
GO:0048544	recognition of pollen
GO:0016311	dephosphorylation
GO:0004721	phosphoprotein phosphatase activity
GO:0006470	protein dephosphorylation
GO:0016791	phosphatase activity
GO:0080090	regulation of primary metabolic process
GO:0007166	cell surface receptor signaling pathway
GO:0030145	manganese ion binding
GO:0030001	metal ion transport
GO:0046873	metal ion transmembrane transporter activity
GO:0051287	NAD binding
GO:0004470	malic enzyme activity
GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity
