go_id	go_term_name	go_namespace	ontology
GO:0000012	single strand break repair	biological_process	BP
GO:0000027	ribosomal large subunit assembly	biological_process	BP
GO:0000028	ribosomal small subunit assembly	biological_process	BP
GO:0000041	transition metal ion transport	biological_process	BP
GO:0000045	autophagosome assembly	biological_process	BP
GO:0000055	ribosomal large subunit export from nucleus	biological_process	BP
GO:0000056	ribosomal small subunit export from nucleus	biological_process	BP
GO:0000077	DNA damage checkpoint signaling	biological_process	BP
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	BP
GO:0000103	sulfate assimilation	biological_process	BP
GO:0000105	L-histidine biosynthetic process	biological_process	BP
GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	BP
GO:0000154	rRNA modification	biological_process	BP
GO:0000160	phosphorelay signal transduction system	biological_process	BP
GO:0000165	MAPK cascade	biological_process	BP
GO:0000209	protein polyubiquitination	biological_process	BP
GO:0000212	meiotic spindle organization	biological_process	BP
GO:0000226	microtubule cytoskeleton organization	biological_process	BP
GO:0000245	spliceosomal complex assembly	biological_process	BP
GO:0000256	allantoin catabolic process	biological_process	BP
GO:0000272	polysaccharide catabolic process	biological_process	BP
GO:0000278	mitotic cell cycle	biological_process	BP
GO:0000280	nuclear division	biological_process	BP
GO:0000302	response to reactive oxygen species	biological_process	BP
GO:0000375	RNA splicing, via transesterification reactions	biological_process	BP
GO:0000395	mRNA 5'-splice site recognition	biological_process	BP
GO:0000398	mRNA splicing, via spliceosome	biological_process	BP
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	biological_process	BP
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	BP
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	BP
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	BP
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	BP
GO:0000470	maturation of LSU-rRNA	biological_process	BP
GO:0000493	box H/ACA snoRNP assembly	biological_process	BP
GO:0000712	resolution of meiotic recombination intermediates	biological_process	BP
GO:0000722	telomere maintenance via recombination	biological_process	BP
GO:0000723	telomere maintenance	biological_process	BP
GO:0000724	double-strand break repair via homologous recombination	biological_process	BP
GO:0000725	recombinational repair	biological_process	BP
GO:0000727	double-strand break repair via break-induced replication	biological_process	BP
GO:0000731	DNA synthesis involved in DNA repair	biological_process	BP
GO:0000902	cell morphogenesis	biological_process	BP
GO:0000911	cytokinesis by cell plate formation	biological_process	BP
GO:0000914	phragmoplast assembly	biological_process	BP
GO:0000956	nuclear-transcribed mRNA catabolic process	biological_process	BP
GO:0000963	mitochondrial RNA processing	biological_process	BP
GO:0001172	RNA-templated transcription	biological_process	BP
GO:0001188	RNA polymerase I preinitiation complex assembly	biological_process	BP
GO:0001510	RNA methylation	biological_process	BP
GO:0001522	pseudouridine synthesis	biological_process	BP
GO:0001558	regulation of cell growth	biological_process	BP
GO:0001578	microtubule bundle formation	biological_process	BP
GO:0001659	temperature homeostasis	biological_process	BP
GO:0001676	long-chain fatty acid metabolic process	biological_process	BP
GO:0001678	intracellular glucose homeostasis	biological_process	BP
GO:0001680	tRNA 3'-terminal CCA addition	biological_process	BP
GO:0001682	tRNA 5'-leader removal	biological_process	BP
GO:0001731	formation of translation preinitiation complex	biological_process	BP
GO:0001732	formation of cytoplasmic translation initiation complex	biological_process	BP
GO:0001763	morphogenesis of a branching structure	biological_process	BP
GO:0002098	tRNA wobble uridine modification	biological_process	BP
GO:0002100	tRNA wobble adenosine to inosine editing	biological_process	BP
GO:0002128	tRNA nucleoside ribose methylation	biological_process	BP
GO:0002143	tRNA wobble position uridine thiolation	biological_process	BP
GO:0002181	cytoplasmic translation	biological_process	BP
GO:0002182	cytoplasmic translational elongation	biological_process	BP
GO:0002183	cytoplasmic translational initiation	biological_process	BP
GO:0002191	cap-dependent translational initiation	biological_process	BP
GO:0002221	pattern recognition receptor signaling pathway	biological_process	BP
GO:0002229	defense response to oomycetes	biological_process	BP
GO:0002376	immune system process	biological_process	BP
GO:0002758	innate immune response-activating signaling pathway	biological_process	BP
GO:0002943	tRNA dihydrouridine synthesis	biological_process	BP
