KO	pathway
K00001	ko00010
K00002	ko00010
K00016	ko00010
K00114	ko00010
K00121	ko00010
K00128	ko00010
K00129	ko00010
K00131	ko00010
K00134	ko00010
K00138	ko00010
K00149	ko00010
K00150	ko00010
K00161	ko00010
K00162	ko00010
K00163	ko00010
K00169	ko00010
K00170	ko00010
K00171	ko00010
K00172	ko00010
K00174	ko00010
K00175	ko00010
K00189	ko00010
K00382	ko00010
K00627	ko00010
K00844	ko00010
K00845	ko00010
K00850	ko00010
K00873	ko00010
K00886	ko00010
K00895	ko00010
K00918	ko00010
K00927	ko00010
K01006	ko00010
K01007	ko00010
K01084	ko00010
K01085	ko00010
K01086	ko00010
K01222	ko00010
K01223	ko00010
K01568	ko00010
K01596	ko00010
K01610	ko00010
K01622	ko00010
K01623	ko00010
K01624	ko00010
K01689	ko00010
K01785	ko00010
K01792	ko00010
K01803	ko00010
K01810	ko00010
K01834	ko00010
K01835	ko00010
K01837	ko00010
K01895	ko00010
K01905	ko00010
K01913	ko00010
K02446	ko00010
K02753	ko00010
K02777	ko00010
K02779	ko00010
K02791	ko00010
K03103	ko00010
K03737	ko00010
K03841	ko00010
K04022	ko00010
K04041	ko00010
K04072	ko00010
K06859	ko00010
K08074	ko00010
K10705	ko00010
K11389	ko00010
K11532	ko00010
K11645	ko00010
K12406	ko00010
K12407	ko00010
K12957	ko00010
K13810	ko00010
K13951	ko00010
K13952	ko00010
K13953	ko00010
K13954	ko00010
K13979	ko00010
K13980	ko00010
K14028	ko00010
K14029	ko00010
K14085	ko00010
K15633	ko00010
K15634	ko00010
K15635	ko00010
K15778	ko00010
K15779	ko00010
K15916	ko00010
K16305	ko00010
K16306	ko00010
K16370	ko00010
K18857	ko00010
K18978	ko00010
K20118	ko00010
K20866	ko00010
K21071	ko00010
K22224	ko00010
K22473	ko00010
K22474	ko00010
K24012	ko00010
K24182	ko00010
K25026	ko00010
K27394	ko00010
K28615	ko00010
K28849	ko00010
K00024	ko00020
K00025	ko00020
K00026	ko00020
K00030	ko00020
K00031	ko00020
K00116	ko00020
K00161	ko00020
K00162	ko00020
K00163	ko00020
K00164	ko00020
K00169	ko00020
K00170	ko00020
K00171	ko00020
K00172	ko00020
K00174	ko00020
K00175	ko00020
K00176	ko00020
K00177	ko00020
K00189	ko00020
K00233	ko00020
K00234	ko00020
K00235	ko00020
K00236	ko00020
K00237	ko00020
K00239	ko00020
K00240	ko00020
K00241	ko00020
K00242	ko00020
K00244	ko00020
K00245	ko00020
K00246	ko00020
K00247	ko00020
K00382	ko00020
K00627	ko00020
K00658	ko00020
K01596	ko00020
K01610	ko00020
K01616	ko00020
K01647	ko00020
K01648	ko00020
K01659	ko00020
K01675	ko00020
K01676	ko00020
K01677	ko00020
K01678	ko00020
K01679	ko00020
K01681	ko00020
K01682	ko00020
K01774	ko00020
K01899	ko00020
K01900	ko00020
K01902	ko00020
K01903	ko00020
K01958	ko00020
K01959	ko00020
K01960	ko00020
K03737	ko00020
K05942	ko00020
K15230	ko00020
K15231	ko00020
K17753	ko00020
K18118	ko00020
K18859	ko00020
K18860	ko00020
K25801	ko00020
K25995	ko00020
K25996	ko00020
K26318	ko00020
K27797	ko00020
K27802	ko00020
K00032	ko00030
K00033	ko00030
K00034	ko00030
K00036	ko00030
K00090	ko00030
K00115	ko00030
K00117	ko00030
K00131	ko00030
K00615	ko00030
K00616	ko00030
K00850	ko00030
K00851	ko00030
K00852	ko00030
K00874	ko00030
K00895	ko00030
K00918	ko00030
K00948	ko00030
K01053	ko00030
K01057	ko00030
K01086	ko00030
K01619	ko00030
K01621	ko00030
K01622	ko00030
K01623	ko00030
K01624	ko00030
K01625	ko00030
K01690	ko00030
K01783	ko00030
K01807	ko00030
K01808	ko00030
K01810	ko00030
K01835	ko00030
K01839	ko00030
K02446	ko00030
K03738	ko00030
