gene_id	ko_list
TraesCS1A02G001800	K02902
TraesCS1A02G001900	K13343
TraesCS1A02G002000	K13343;K16284
TraesCS1A02G002500	K01530
TraesCS1A02G002700	K11644
TraesCS1A02G003100	K13457
TraesCS1A02G003200	K22698
TraesCS1A02G003300	K22698
TraesCS1A02G003700	K22255
TraesCS1A02G003800	K08900
TraesCS1A02G004000	K13457
TraesCS1A02G004100	K13457
TraesCS1A02G004200	K07199
TraesCS1A02G005100	K12198
TraesCS1A02G005300	K10268
TraesCS1A02G005600	K03131
TraesCS1A02G005700	K10638
TraesCS1A02G005900	K12198
TraesCS1A02G006800	K13420
TraesCS1A02G007500	K03768
TraesCS1A02G008100	K13457
TraesCS1A02G008300	K13457
TraesCS1A02G008400	K18054
TraesCS1A02G009300	K13457
TraesCS1A02G009400	K13457
TraesCS1A02G009900	K13457
TraesCS1A02G010400	K13457
TraesCS1A02G010500	K13680
TraesCS1A02G010700	K14568
TraesCS1A02G011100	K02965
TraesCS1A02G011200	K08880
TraesCS1A02G012500	K20177
TraesCS1A02G012700	K07517
TraesCS1A02G012800	K07517
TraesCS1A02G012900	K07517
TraesCS1A02G013000	K13457
TraesCS1A02G013700	K09561
TraesCS1A02G013800	K08247
TraesCS1A02G013900	K00799
TraesCS1A02G014300	K28058
TraesCS1A02G015200	K21768
TraesCS1A02G015300	K07874
TraesCS1A02G015400	K07904
TraesCS1A02G015500	K05894
TraesCS1A02G015600	K05894;K10680
TraesCS1A02G015700	K05894
TraesCS1A02G015800	K05894
TraesCS1A02G016200	K13457
TraesCS1A02G016400	K13457
TraesCS1A02G016800	K00799
TraesCS1A02G016900	K00981
TraesCS1A02G017000	K14325
TraesCS1A02G017300	K00799
TraesCS1A02G017400	K00799
TraesCS1A02G017800	K13457
TraesCS1A02G018400	K13457
TraesCS1A02G019000	K02155
TraesCS1A02G019200	K13216
TraesCS1A02G019500	K12930
TraesCS1A02G019600	K12930
TraesCS1A02G019900	K09755
TraesCS1A02G020500	K10354;K10355
TraesCS1A02G020700	K21797
TraesCS1A02G021200	K22048
TraesCS1A02G021500	K09422
TraesCS1A02G021600	K13027
TraesCS1A02G021700	K13457
TraesCS1A02G021800	K13457
TraesCS1A02G022600	K07342
TraesCS1A02G023200	K22312
TraesCS1A02G024500	K03123
TraesCS1A02G024700	K03177
TraesCS1A02G025100	K02890
TraesCS1A02G025400	K19466
TraesCS1A02G025500	K13457
TraesCS1A02G025600	K13457
TraesCS1A02G025900	K08867
TraesCS1A02G026400	K13457;K13475
TraesCS1A02G027200	K10845
TraesCS1A02G027300	K16290
TraesCS1A02G027600	K03234
TraesCS1A02G028400	K13457
TraesCS1A02G028500	K13457
TraesCS1A02G028900	K13457
TraesCS1A02G029100	K13457
TraesCS1A02G029200	K17943
TraesCS1A02G029300	K21989
TraesCS1A02G029800	K11982
TraesCS1A02G029900	K03327
TraesCS1A02G030200	K27753
TraesCS1A02G030300	K27753
TraesCS1A02G030500	K14806
TraesCS1A02G031300	K26549
TraesCS1A02G031600	K17710
TraesCS1A02G031700	K17710
TraesCS1A02G032100	K00660;K12644
TraesCS1A02G032300	K00660;K12644
TraesCS1A02G032700	K07466;K09250
TraesCS1A02G032800	K01593
TraesCS1A02G032900	K03327
TraesCS1A02G033000	K14298
TraesCS1A02G033700	K01102
TraesCS1A02G033800	K14574;K19882
TraesCS1A02G034100	K21989
TraesCS1A02G034900	K05917
TraesCS1A02G035000	K14305
